what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311374310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311415991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1523311502647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1523311508850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523311511154
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1523311583302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311595342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311596128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311598107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311607705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311617653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311652804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311657404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311694644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311696215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311701360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311719127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523311788980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523311791747
